fold,r2,mae,mse,rmse
0,0.15378769419014204,4171.140787075251,28208568.89979309,5311.1739662520085
1,0.19003312621011526,4045.4425695624645,27000323.924603708,5196.18359227267
2,0.15635860287900138,4190.512101321309,28122867.410477873,5303.099792619207
