trial_number,params,mean_score,std_score,partition_scores
14,"{'tweedie_variance_power': 1.1013668154603402, 'learning_rate': 0.09433951555071882, 'num_leaves': 16, 'min_child_samples': 69, 'feature_fraction': 0.8892493050109838, 'bagging_fraction': 0.6160153001482948, 'bagging_freq': 2, 'n_estimators': 200, 'max_depth': 7, 'lambda_l1': 1.0102620032162597, 'lambda_l2': 3.5959885589978837}",2703.9769555905973,17.54316830118612,"[2700.1498189398217, 2727.119252089332, 2684.6617957426392]"
15,"{'tweedie_variance_power': 1.159605462568622, 'learning_rate': 0.03545372465456878, 'num_leaves': 112, 'min_child_samples': 54, 'feature_fraction': 0.5145530922415529, 'bagging_fraction': 0.5267351813649954, 'bagging_freq': 2, 'n_estimators': 300, 'max_depth': 8, 'lambda_l1': 2.8598507408706357, 'lambda_l2': 2.760059720591788}",2699.6010079269727,102.26244643080251,"[2576.239350291887, 2695.9148879541513, 2826.6487855348796]"
16,"{'tweedie_variance_power': 1.423381062196479, 'learning_rate': 0.061585903895053994, 'num_leaves': 16, 'min_child_samples': 87, 'feature_fraction': 0.5789326688503068, 'bagging_fraction': 0.8434613922451581, 'bagging_freq': 2, 'n_estimators': 300, 'max_depth': 6, 'lambda_l1': 0.539991940266588, 'lambda_l2': 2.103368981126075}",2810.369430408466,83.65731036337584,"[2792.6084830291816, 2920.5476332285975, 2717.9521749676187]"
17,"{'tweedie_variance_power': 1.160451681911321, 'learning_rate': 0.022641559652629307, 'num_leaves': 64, 'min_child_samples': 20, 'feature_fraction': 0.930940227242445, 'bagging_fraction': 0.5429586606695792, 'bagging_freq': 1, 'n_estimators': 300, 'max_depth': 13, 'lambda_l1': 4.110176647574447, 'lambda_l2': 4.010210980095609}",2563.515387790862,176.94798168456626,"[2607.6947890279453, 2754.737706789388, 2328.113667555254]"
18,"{'tweedie_variance_power': 1.2517500366617158, 'learning_rate': 0.01279505545555489, 'num_leaves': 16, 'min_child_samples': 42, 'feature_fraction': 0.9615805601221955, 'bagging_fraction': 0.6390741320639142, 'bagging_freq': 1, 'n_estimators': 200, 'max_depth': 14, 'lambda_l1': 3.9897831941584188, 'lambda_l2': 4.659090982382352}",2661.1662110570264,170.11802608311524,"[2541.531747534408, 2901.748236267903, 2540.2186493687686]"
19,"{'tweedie_variance_power': 1.1125275096244356, 'learning_rate': 0.0253852385417085, 'num_leaves': 48, 'min_child_samples': 16, 'feature_fraction': 0.8047902213002482, 'bagging_fraction': 0.5027465029110522, 'bagging_freq': 1, 'n_estimators': 500, 'max_depth': 5, 'lambda_l1': 3.484182303781139, 'lambda_l2': 3.3276688268377077}",2527.996941200366,70.82518899810093,"[2493.0730338542126, 2626.7580438030786, 2464.159745943808]"
20,"{'tweedie_variance_power': 1.2850785928975983, 'learning_rate': 0.007646888227569352, 'num_leaves': 96, 'min_child_samples': 11, 'feature_fraction': 0.7036801557346883, 'bagging_fraction': 0.472520569513707, 'bagging_freq': 3, 'n_estimators': 800, 'max_depth': 7, 'lambda_l1': 3.886653223706867, 'lambda_l2': 4.493375363558932}",2702.3265568592087,62.43893843948307,"[2642.4675537089734, 2788.4753287654985, 2676.036788103154]"
21,"{'tweedie_variance_power': 1.4448578445001976, 'learning_rate': 0.08664368240720072, 'num_leaves': 80, 'min_child_samples': 6, 'feature_fraction': 0.8683018138563269, 'bagging_fraction': 0.4866793893800332, 'bagging_freq': 2, 'n_estimators': 500, 'max_depth': 14, 'lambda_l1': 3.6295751900197715, 'lambda_l2': 4.279860872690622}",2857.82593724971,224.2978548458025,"[2860.332741076575, 3131.2716042891466, 2581.873466383408]"
22,"{'tweedie_variance_power': 1.2592341859117842, 'learning_rate': 0.029242097118005538, 'num_leaves': 80, 'min_child_samples': 25, 'feature_fraction': 0.914559720085631, 'bagging_fraction': 0.6498190195079102, 'bagging_freq': 1, 'n_estimators': 200, 'max_depth': 4, 'lambda_l1': 4.087240288443588, 'lambda_l2': 3.430882015863455}",2580.221778406729,92.70699684079905,"[2520.6125680091577, 2711.154705166259, 2508.8980620447687]"
23,"{'tweedie_variance_power': 1.3542944191032813, 'learning_rate': 0.003965875750656479, 'num_leaves': 64, 'min_child_samples': 8, 'feature_fraction': 0.9814225729295891, 'bagging_fraction': 0.5607564910659903, 'bagging_freq': 1, 'n_estimators': 100, 'max_depth': 4, 'lambda_l1': 3.580001300908584, 'lambda_l2': 4.52482039707274}",4686.881199659332,47.81866125744239,"[4671.322957805457, 4751.6549903325995, 4637.665650839938]"
24,"{'tweedie_variance_power': 1.5228761572333427, 'learning_rate': 0.0977985767662285, 'num_leaves': 96, 'min_child_samples': 21, 'feature_fraction': 0.9279586915831642, 'bagging_fraction': 0.7063915352676812, 'bagging_freq': 2, 'n_estimators': 200, 'max_depth': 7, 'lambda_l1': 4.558520183814671, 'lambda_l2': 2.088277743772006}",3051.328485634857,77.1044052217786,"[3138.708429759886, 3064.1291586424477, 2951.1478685022385]"
25,"{'tweedie_variance_power': 1.1997030004621398, 'learning_rate': 0.01892385563713782, 'num_leaves': 112, 'min_child_samples': 26, 'feature_fraction': 0.92096723025075, 'bagging_fraction': 0.6901318132260275, 'bagging_freq': 1, 'n_estimators': 400, 'max_depth': 5, 'lambda_l1': 4.481810814839289, 'lambda_l2': 4.128632577540346}",2501.7895134826235,130.13858023911052,"[2457.1759842873207, 2678.729068456482, 2369.4634877040676]"
26,"{'tweedie_variance_power': 1.3193324857715556, 'learning_rate': 0.0120498140993446, 'num_leaves': 128, 'min_child_samples': 45, 'feature_fraction': 0.8837561474437436, 'bagging_fraction': 0.5777571265472466, 'bagging_freq': 1, 'n_estimators': 700, 'max_depth': 4, 'lambda_l1': 2.7098194873239816, 'lambda_l2': 2.4174569053423536}",2604.089886206541,63.01611849532077,"[2588.892551275048, 2687.73674591615, 2535.640361428425]"
