trial_number,params,mean_score,std_score,partition_scores
0,"{'tweedie_variance_power': 1.39963209507789, 'learning_rate': 0.22648248189516848, 'num_leaves': 192, 'min_child_samples': 62, 'feature_fraction': 0.4936111842654619, 'bagging_fraction': 0.49359671220172163, 'bagging_freq': 1, 'n_estimators': 900, 'max_depth': 10, 'lambda_l1': 3.540362888980227, 'lambda_l2': 0.10292247147901223}",2894.8086717587557,210.42958355095564,"[2811.626595051591, 2688.949773688512, 3183.8496465361636]"
1,"{'tweedie_variance_power': 1.8759278817295955, 'learning_rate': 0.11536162338241392, 'num_leaves': 64, 'min_child_samples': 22, 'feature_fraction': 0.5100427059120604, 'bagging_fraction': 0.5825453457757226, 'bagging_freq': 6, 'n_estimators': 500, 'max_depth': 6, 'lambda_l1': 3.0592644736118975, 'lambda_l2': 0.6974693032602092}",3169.3706484754325,384.0760045104229,"[3256.907324354065, 2661.35607884099, 3589.848542231243]"
2,"{'tweedie_variance_power': 1.3337157188281745, 'learning_rate': 0.008082071885709252, 'num_leaves': 128, 'min_child_samples': 80, 'feature_fraction': 0.5198042692950159, 'bagging_fraction': 0.708540663048167, 'bagging_freq': 6, 'n_estimators': 100, 'max_depth': 10, 'lambda_l1': 0.8526206184364576, 'lambda_l2': 0.3252579649263976}",3850.5853791631253,57.66505395364157,"[3770.513237689259, 3904.0090109571156, 3877.2338888430013]"
3,"{'tweedie_variance_power': 1.8591084298026666, 'learning_rate': 0.24659691172104828, 'num_leaves': 208, 'min_child_samples': 34, 'feature_fraction': 0.45860326840383037, 'bagging_fraction': 0.8105398159072941, 'bagging_freq': 5, 'n_estimators': 200, 'max_depth': 9, 'lambda_l1': 0.17194260557609198, 'lambda_l2': 4.546602010393911}",3435.0590792445823,205.02295222111616,"[3579.2085450604964, 3145.1143965157908, 3580.854296157461]"
4,"{'tweedie_variance_power': 1.3070239852800136, 'learning_rate': 0.043767126303409544, 'num_leaves': 80, 'min_child_samples': 54, 'feature_fraction': 0.7280261676059678, 'bagging_fraction': 0.5109126733153162, 'bagging_freq': 10, 'n_estimators': 800, 'max_depth': 15, 'lambda_l1': 4.474136752138244, 'lambda_l2': 2.9894998940554256}",2698.6289764058765,70.05237681297663,"[2640.4755319558594, 2797.1652978211337, 2658.2460994406365]"
5,"{'tweedie_variance_power': 1.8374993880184936, 'learning_rate': 0.0016565580440884786, 'num_leaves': 64, 'min_child_samples': 9, 'feature_fraction': 0.5951981984579586, 'bagging_fraction': 0.6332063738136893, 'bagging_freq': 3, 'n_estimators': 900, 'max_depth': 7, 'lambda_l1': 1.4046725484369038, 'lambda_l2': 2.7134804157912424}",3157.4154353777485,90.42944226872864,"[3065.4602950605513, 3280.3632281583677, 3126.4227829143265]"
6,"{'tweedie_variance_power': 1.2127393799798103, 'learning_rate': 0.09708210658008556, 'num_leaves': 32, 'min_child_samples': 99, 'feature_fraction': 0.8633468615779945, 'bagging_fraction': 0.5192294089205034, 'bagging_freq': 1, 'n_estimators': 900, 'max_depth': 12, 'lambda_l1': 3.6450358402049368, 'lambda_l2': 3.8563517334297286}",2746.892613421518,85.62275200562145,"[2763.543788156576, 2634.6972167902713, 2842.4368353177074]"
7,"{'tweedie_variance_power': 1.1592357213872724, 'learning_rate': 0.007726148927746463, 'num_leaves': 32, 'min_child_samples': 87, 'feature_fraction': 0.7739788760965347, 'bagging_fraction': 0.5985388149115896, 'bagging_freq': 1, 'n_estimators': 400, 'max_depth': 7, 'lambda_l1': 3.64803089169032, 'lambda_l2': 3.1877873567760657}",2595.129009517721,89.9223512545381,"[2578.258892626756, 2712.7226372547657, 2494.4054986716424]"
8,"{'tweedie_variance_power': 1.8097701940610613, 'learning_rate': 0.014782014634883782, 'num_leaves': 32, 'min_child_samples': 73, 'feature_fraction': 0.8564710291701385, 'bagging_fraction': 0.7367663185416977, 'bagging_freq': 8, 'n_estimators': 500, 'max_depth': 9, 'lambda_l1': 2.137705091792748, 'lambda_l2': 0.12709563372047594}",2841.8202350557385,17.906300837704602,"[2816.509993704644, 2853.770248223468, 2855.180463239103]"
9,"{'tweedie_variance_power': 1.1863131415946437, 'learning_rate': 0.0011963380170058652, 'num_leaves': 176, 'min_child_samples': 35, 'feature_fraction': 0.7051424146988217, 'bagging_fraction': 0.9445398843556558, 'bagging_freq': 3, 'n_estimators': 500, 'max_depth': 12, 'lambda_l1': 1.1439908274581123, 'lambda_l2': 0.38489954914396496}",4192.101703909072,83.19286338911061,"[4147.645183802844, 4308.6660235754225, 4119.993904348948]"
