trial_number,params,mean_score,std_score,partition_scores
0,"{'tweedie_variance_power': 1.39963209507789, 'learning_rate': 0.22648248189516848, 'num_leaves': 192, 'min_child_samples': 62, 'feature_fraction': 0.4936111842654619, 'bagging_fraction': 0.49359671220172163, 'bagging_freq': 1, 'n_estimators': 900, 'max_depth': 10, 'lambda_l1': 3.540362888980227, 'lambda_l2': 0.10292247147901223}",3161.1403438036846,48.114825030611044,"[3094.6005569189583, 3182.0855809591185, 3206.7348935329755]"
1,"{'tweedie_variance_power': 1.8759278817295955, 'learning_rate': 0.11536162338241392, 'num_leaves': 64, 'min_child_samples': 22, 'feature_fraction': 0.5100427059120604, 'bagging_fraction': 0.5825453457757226, 'bagging_freq': 6, 'n_estimators': 500, 'max_depth': 6, 'lambda_l1': 3.0592644736118975, 'lambda_l2': 0.6974693032602092}",3533.7282364701823,171.57744379263298,"[3572.6798292592894, 3306.8390632360074, 3721.6658169152506]"
2,"{'tweedie_variance_power': 1.3337157188281745, 'learning_rate': 0.008082071885709252, 'num_leaves': 128, 'min_child_samples': 80, 'feature_fraction': 0.5198042692950159, 'bagging_fraction': 0.708540663048167, 'bagging_freq': 6, 'n_estimators': 100, 'max_depth': 10, 'lambda_l1': 0.8526206184364576, 'lambda_l2': 0.3252579649263976}",3870.0379275584796,66.67037895403884,"[3779.001004626989, 3936.8076982118287, 3894.30507983662]"
