trial_number,params,mean_score,std_score,partition_scores
0,"{'tweedie_variance_power': 1.39963209507789, 'learning_rate': 0.22648248189516848, 'num_leaves': 192, 'min_child_samples': 62, 'feature_fraction': 0.4936111842654619, 'bagging_fraction': 0.49359671220172163, 'bagging_freq': 1, 'n_estimators': 900, 'max_depth': 10, 'lambda_l1': 3.540362888980227, 'lambda_l2': 0.10292247147901223}",3549.719970703125,177.91192572346068,"[3781.790283203125, 3517.8662109375, 3349.50341796875]"
1,"{'tweedie_variance_power': 1.8759278817295955, 'learning_rate': 0.11536162338241392, 'num_leaves': 64, 'min_child_samples': 22, 'feature_fraction': 0.5100427059120604, 'bagging_fraction': 0.5825453457757226, 'bagging_freq': 6, 'n_estimators': 500, 'max_depth': 6, 'lambda_l1': 3.0592644736118975, 'lambda_l2': 0.6974693032602092}",3940.7861328125,37.38585402267519,"[3890.57373046875, 3980.230712890625, 3951.553955078125]"
2,"{'tweedie_variance_power': 1.3337157188281745, 'learning_rate': 0.008082071885709252, 'num_leaves': 128, 'min_child_samples': 80, 'feature_fraction': 0.5198042692950159, 'bagging_fraction': 0.708540663048167, 'bagging_freq': 6, 'n_estimators': 100, 'max_depth': 10, 'lambda_l1': 0.8526206184364576, 'lambda_l2': 0.3252579649263976}",3548.8904622395835,153.9570667902582,"[3579.802490234375, 3720.08251953125, 3346.786376953125]"
3,"{'tweedie_variance_power': 1.8591084298026666, 'learning_rate': 0.24659691172104828, 'num_leaves': 208, 'min_child_samples': 34, 'feature_fraction': 0.45860326840383037, 'bagging_fraction': 0.8105398159072941, 'bagging_freq': 5, 'n_estimators': 200, 'max_depth': 9, 'lambda_l1': 0.17194260557609198, 'lambda_l2': 4.546602010393911}",3700.8422037760415,199.46299702011459,"[3722.607666015625, 3933.5224609375, 3446.396484375]"
4,"{'tweedie_variance_power': 1.3070239852800136, 'learning_rate': 0.043767126303409544, 'num_leaves': 80, 'min_child_samples': 54, 'feature_fraction': 0.7280261676059678, 'bagging_fraction': 0.5109126733153162, 'bagging_freq': 10, 'n_estimators': 800, 'max_depth': 15, 'lambda_l1': 4.474136752138244, 'lambda_l2': 2.9894998940554256}",2981.4213053385415,166.3772175121073,"[3108.40966796875, 3089.4716796875, 2746.382568359375]"
5,"{'tweedie_variance_power': 1.8374993880184936, 'learning_rate': 0.0016565580440884786, 'num_leaves': 64, 'min_child_samples': 9, 'feature_fraction': 0.5951981984579586, 'bagging_fraction': 0.6332063738136893, 'bagging_freq': 3, 'n_estimators': 900, 'max_depth': 7, 'lambda_l1': 1.4046725484369038, 'lambda_l2': 2.7134804157912424}",3014.2288411458335,270.65472828051725,"[3035.006103515625, 3334.83447265625, 2672.845947265625]"
6,"{'tweedie_variance_power': 1.2127393799798103, 'learning_rate': 0.09708210658008556, 'num_leaves': 32, 'min_child_samples': 99, 'feature_fraction': 0.8633468615779945, 'bagging_fraction': 0.5192294089205034, 'bagging_freq': 1, 'n_estimators': 900, 'max_depth': 12, 'lambda_l1': 3.6450358402049368, 'lambda_l2': 3.8563517334297286}",3156.386962890625,136.77097096703784,"[3088.340576171875, 3347.211669921875, 3033.608642578125]"
7,"{'tweedie_variance_power': 1.1592357213872724, 'learning_rate': 0.007726148927746463, 'num_leaves': 32, 'min_child_samples': 87, 'feature_fraction': 0.7739788760965347, 'bagging_fraction': 0.5985388149115896, 'bagging_freq': 1, 'n_estimators': 400, 'max_depth': 7, 'lambda_l1': 3.64803089169032, 'lambda_l2': 3.1877873567760657}",2736.9837239583335,175.98682762138003,"[2498.1923828125, 2917.133544921875, 2795.625244140625]"
8,"{'tweedie_variance_power': 1.8097701940610613, 'learning_rate': 0.014782014634883782, 'num_leaves': 32, 'min_child_samples': 73, 'feature_fraction': 0.8564710291701385, 'bagging_fraction': 0.7367663185416977, 'bagging_freq': 8, 'n_estimators': 500, 'max_depth': 9, 'lambda_l1': 2.137705091792748, 'lambda_l2': 0.12709563372047594}",3248.58056640625,265.15111553508797,"[3444.926025390625, 3427.07373046875, 2873.741943359375]"
9,"{'tweedie_variance_power': 1.1863131415946437, 'learning_rate': 0.0011963380170058652, 'num_leaves': 176, 'min_child_samples': 35, 'feature_fraction': 0.7051424146988217, 'bagging_fraction': 0.9445398843556558, 'bagging_freq': 3, 'n_estimators': 500, 'max_depth': 12, 'lambda_l1': 1.1439908274581123, 'lambda_l2': 0.38489954914396496}",3950.078369140625,119.25348663681095,"[3830.015625, 4112.6806640625, 3907.538818359375]"
