fold,r2,mae,mse,rmse
0,0.4022279381752014,3675.356201171875,19926790.0,4463.943324012974
1,0.4034079909324646,3646.834228515625,19887454.0,4459.535177571761
2,0.3773757219314575,3766.499755859375,20755242.0,4555.792137488276
