fold,r2,mae,mse,rmse
0,0.3583101803750589,3689.4315324870995,21390792.080082607,4625.018062676362
1,0.37496517059733714,3589.186009223203,20835596.373302042,4564.60254275244
2,0.34914259205662035,3719.29033564843,21696394.521633156,4657.938870534172
