trial_number,params,mean_score,std_score,partition_scores
0,"{'tweedie_variance_power': 1.39963209507789, 'learning_rate': 0.22648248189516848, 'num_leaves': 192, 'min_child_samples': 62, 'feature_fraction': 0.4936111842654619, 'bagging_fraction': 0.49359671220172163, 'bagging_freq': 1, 'n_estimators': 900, 'max_depth': 10, 'lambda_l1': 3.540362888980227, 'lambda_l2': 0.10292247147901223}",0.36568212509155273,0.10854393240702627,"[0.24225008487701416, 0.34836602210998535, 0.5064302682876587]"
1,"{'tweedie_variance_power': 1.8759278817295955, 'learning_rate': 0.11536162338241392, 'num_leaves': 64, 'min_child_samples': 22, 'feature_fraction': 0.5100427059120604, 'bagging_fraction': 0.5825453457757226, 'bagging_freq': 6, 'n_estimators': 500, 'max_depth': 6, 'lambda_l1': 3.0592644736118975, 'lambda_l2': 0.6974693032602092}",0.1444835662841797,0.061569549324760456,"[0.221544086933136, 0.07084673643112183, 0.14105987548828125]"
2,"{'tweedie_variance_power': 1.3337157188281745, 'learning_rate': 0.008082071885709252, 'num_leaves': 128, 'min_child_samples': 80, 'feature_fraction': 0.5198042692950159, 'bagging_fraction': 0.708540663048167, 'bagging_freq': 6, 'n_estimators': 100, 'max_depth': 10, 'lambda_l1': 0.8526206184364576, 'lambda_l2': 0.3252579649263976}",0.6592270334561666,0.07413017634849171,"[0.6575921773910522, 0.5692649483680725, 0.750823974609375]"
3,"{'tweedie_variance_power': 1.8591084298026666, 'learning_rate': 0.24659691172104828, 'num_leaves': 208, 'min_child_samples': 34, 'feature_fraction': 0.45860326840383037, 'bagging_fraction': 0.8105398159072941, 'bagging_freq': 5, 'n_estimators': 200, 'max_depth': 9, 'lambda_l1': 0.17194260557609198, 'lambda_l2': 4.546602010393911}",0.26416810353597003,0.13544556857992396,"[0.2731914520263672, 0.09395432472229004, 0.42535853385925293]"
4,"{'tweedie_variance_power': 1.3070239852800136, 'learning_rate': 0.043767126303409544, 'num_leaves': 80, 'min_child_samples': 54, 'feature_fraction': 0.7280261676059678, 'bagging_fraction': 0.5109126733153162, 'bagging_freq': 10, 'n_estimators': 800, 'max_depth': 15, 'lambda_l1': 4.474136752138244, 'lambda_l2': 2.9894998940554256}",0.5717099706331888,0.13422270867872954,"[0.4862965941429138, 0.46761059761047363, 0.7612227201461792]"
5,"{'tweedie_variance_power': 1.8374993880184936, 'learning_rate': 0.0016565580440884786, 'num_leaves': 64, 'min_child_samples': 9, 'feature_fraction': 0.5951981984579586, 'bagging_fraction': 0.6332063738136893, 'bagging_freq': 3, 'n_estimators': 900, 'max_depth': 7, 'lambda_l1': 1.4046725484369038, 'lambda_l2': 2.7134804157912424}",0.6398977637290955,0.13331869511518968,"[0.6309529542922974, 0.4812726378440857, 0.8074676990509033]"
6,"{'tweedie_variance_power': 1.2127393799798103, 'learning_rate': 0.09708210658008556, 'num_leaves': 32, 'min_child_samples': 99, 'feature_fraction': 0.8633468615779945, 'bagging_fraction': 0.5192294089205034, 'bagging_freq': 1, 'n_estimators': 900, 'max_depth': 12, 'lambda_l1': 3.6450358402049368, 'lambda_l2': 3.8563517334297286}",0.5308425426483154,0.11941618863611679,"[0.5765435695648193, 0.36719465255737305, 0.6487894058227539]"
7,"{'tweedie_variance_power': 1.1592357213872724, 'learning_rate': 0.007726148927746463, 'num_leaves': 32, 'min_child_samples': 87, 'feature_fraction': 0.7739788760965347, 'bagging_fraction': 0.5985388149115896, 'bagging_freq': 1, 'n_estimators': 400, 'max_depth': 7, 'lambda_l1': 3.64803089169032, 'lambda_l2': 3.1877873567760657}",0.7111984888712565,0.06702792871799694,"[0.7946897745132446, 0.6305810213088989, 0.708324670791626]"
8,"{'tweedie_variance_power': 1.8097701940610613, 'learning_rate': 0.014782014634883782, 'num_leaves': 32, 'min_child_samples': 73, 'feature_fraction': 0.8564710291701385, 'bagging_fraction': 0.7367663185416977, 'bagging_freq': 8, 'n_estimators': 500, 'max_depth': 9, 'lambda_l1': 2.137705091792748, 'lambda_l2': 0.12709563372047594}",0.3927730123202006,0.16649477153738934,"[0.3018607497215271, 0.2501281499862671, 0.6263301372528076]"
9,"{'tweedie_variance_power': 1.1863131415946437, 'learning_rate': 0.0011963380170058652, 'num_leaves': 176, 'min_child_samples': 35, 'feature_fraction': 0.7051424146988217, 'bagging_fraction': 0.9445398843556558, 'bagging_freq': 3, 'n_estimators': 500, 'max_depth': 12, 'lambda_l1': 1.1439908274581123, 'lambda_l2': 0.38489954914396496}",0.6206352512041727,0.062388469889052736,"[0.6751657724380493, 0.5333008766174316, 0.6534391045570374]"
10,"{'tweedie_variance_power': 1.287361389523197, 'learning_rate': 0.0049617862287242576, 'num_leaves': 32, 'min_child_samples': 85, 'feature_fraction': 0.8666183659647407, 'bagging_fraction': 0.5556823951106991, 'bagging_freq': 5, 'n_estimators': 600, 'max_depth': 4, 'lambda_l1': 4.560037552993041, 'lambda_l2': 2.946438346071462}",0.8313912550608317,0.02698437547942954,"[0.845952033996582, 0.7935621738433838, 0.8546595573425293]"
11,"{'tweedie_variance_power': 1.2780171863473313, 'learning_rate': 0.01307829732050843, 'num_leaves': 16, 'min_child_samples': 84, 'feature_fraction': 0.7227886177209483, 'bagging_fraction': 0.4190422030313432, 'bagging_freq': 4, 'n_estimators': 500, 'max_depth': 3, 'lambda_l1': 4.072236645382559, 'lambda_l2': 4.427218302811227}",0.8561855753262838,0.00345480307140307,"[0.8559795618057251, 0.8520610928535461, 0.8605160713195801]"
12,"{'tweedie_variance_power': 1.1468992313505102, 'learning_rate': 0.003326784140079972, 'num_leaves': 32, 'min_child_samples': 90, 'feature_fraction': 0.6950493961631464, 'bagging_fraction': 0.4428551673411619, 'bagging_freq': 6, 'n_estimators': 600, 'max_depth': 3, 'lambda_l1': 4.9055344411076724, 'lambda_l2': 3.4949093687553896}",0.8092153072357178,0.0042978714692732305,"[0.8039911389350891, 0.8091369271278381, 0.8145178556442261]"
