fold,r2,mae,mse,rmse
0,0.3488864546190269,3707.8061413437044,21704932.887840506,4658.855319479293
1,0.36265803234162486,3674.6010988854955,21245856.01507514,4609.322728457527
2,0.34298704303817407,3712.9915215151914,21901590.342363648,4679.913497316339
